lh.aparc.thickness,lh_bankssts_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_transversetemporal_thickness,lh_insula_thickness,lh_MeanThickness_thickness,BrainSegVolNotVent,eTIV
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170313133831_2,2.37,2.541,2.384,1.838,2.85,2.466,2.28,2.546,2.103,2.092,2.49,1.833,2.206,2.496,2.71,2.45,2.416,2.33,2.288,1.524,2.145,2.181,2.426,2.255,2.737,2.215,2.433,2.152,2.498,2.349,2.412,3.053,2.253,2.915,2.32081,906336,1406602.827
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170301100507_2,2.346,2.448,2.52,2.011,2.801,2.5,2.323,2.404,2.11,2.099,2.532,1.996,2.159,2.527,2.325,2.476,2.382,2.537,2.309,1.749,2.144,2.258,2.562,2.264,2.619,2.257,2.645,2.16,2.578,2.539,2.565,2.86,2.617,2.534,2.37142,945191,1338460.52
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170331104049_2,2.564,2.306,2.084,1.527,3.109,2.48,2.121,2.629,2.242,2.005,2.226,1.676,2.208,2.515,2.476,2.023,2.225,2.575,2.17,1.397,1.949,2.4,2.233,2.179,2.607,2.138,2.455,1.896,2.715,2.387,2.702,3.479,2.332,2.783,2.22533,1069189,1498641.803
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170417112208_2,2.487,2.109,2.363,1.765,3.29,2.785,2.337,2.756,2.301,2.211,2.595,1.826,2.327,2.922,2.477,2.364,2.498,2.469,2.297,1.604,2.02,2.178,2.532,2.434,2.521,2.255,2.468,2.114,2.784,2.42,2.634,3.795,2.204,2.802,2.39382,1128973,1578687.067
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170615103816_2,2.408,2.432,2.435,1.753,3.234,2.698,2.425,2.615,2.233,2.176,2.442,1.877,2.253,2.694,2.423,2.587,2.396,2.593,2.24,1.511,2.177,2.293,2.641,2.433,2.463,2.22,2.557,2.338,2.537,2.412,2.262,3.242,2.342,2.731,2.40563,1058074,1485617.734
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170615133022_2,2.72,2.609,2.608,1.807,3.343,2.833,2.494,2.611,2.367,2.056,2.536,2.032,2.313,2.821,2.738,2.575,2.461,2.609,2.361,1.581,2.2,2.416,2.619,2.491,2.7,2.159,2.571,2.269,2.897,2.496,2.523,3.692,2.67,2.978,2.46221,1070662,1428616.925
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170717112702_2,2.291,2.286,2.472,1.812,3.098,2.623,2.406,2.597,2.116,2.121,2.428,2.112,2.227,2.752,2.279,2.508,2.382,2.551,2.292,1.716,2.044,2.38,2.508,2.31,2.424,2.251,2.478,2.258,2.503,2.323,2.573,3.692,2.222,2.636,2.37096,1117230,1755280.41
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170804133509_2,2.344,2.232,2.348,1.784,3.26,2.6,2.274,2.604,2.257,2.092,2.407,1.844,2.408,2.737,2.769,2.369,2.347,2.449,2.343,1.529,2.12,2.25,2.537,2.251,2.871,2.244,2.457,2.017,2.682,2.458,2.574,3.668,2.23,2.725,2.3412,1011408,1365398.615
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20170814125728_2,2.432,2.217,2.405,1.89,3.136,2.561,2.391,2.722,2.54,2.114,2.568,1.891,2.54,2.632,3.069,2.291,2.294,2.754,2.209,1.702,1.996,2.406,2.328,2.402,2.337,2.346,2.6,2.183,2.503,2.504,3.563,3.581,2.119,2.87,2.36753,940306,1332487.966
Healthy_Controls_copy_Accelerated_Sagittal_MPRAGE_20171101085519_2,2.288,2.372,2.444,1.897,3.34,2.597,2.264,2.777,2.012,2.091,2.381,1.993,2.248,2.808,2.743,2.301,2.473,2.701,2.419,1.659,2.116,2.334,2.432,2.245,2.733,2.354,2.452,2.187,2.645,2.405,2.674,3.68,2.27,2.832,2.36286,956452,1465588.33
